"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.08.2025","1.858,45","1.852,35","1.865,70","1.827,03","","0,33%"
"21.08.2025","1.852,35","1.855,31","1.860,16","1.846,45","","-0,16%"
"20.08.2025","1.855,31","1.852,74","1.862,62","1.849,23","","0,10%"
"19.08.2025","1.853,52","1.857,78","1.865,09","1.849,17","","-0,18%"
"15.08.2025","1.856,83","1.846,97","1.856,83","1.833,08","","0,61%"
"14.08.2025","1.845,64","1.826,07","1.845,64","1.826,07","","1,02%"
"13.08.2025","1.826,99","1.820,94","1.833,05","1.820,08","","0,15%"
"12.08.2025","1.824,32","1.812,65","1.824,32","1.803,79","","0,63%"
"11.08.2025","1.812,81","1.802,79","1.815,51","1.798,54","","0,56%"
"08.08.2025","1.802,78","1.779,20","1.802,78","1.777,68","","1,59%"
"06.08.2025","1.774,53","1.762,66","1.774,53","1.759,63","","0,72%"
"05.08.2025","1.761,81","1.747,71","1.761,81","1.747,58","","0,59%"
"04.08.2025","1.751,55","1.751,50","1.768,09","1.750,30","","0,00%"
"01.08.2025","1.751,56","1.772,46","1.772,46","1.747,59","","-1,20%"
"31.07.2025","1.772,88","1.761,52","1.772,88","1.759,12","","0,74%"
"30.07.2025","1.759,90","1.757,87","1.760,92","1.745,79","","0,12%"
"29.07.2025","1.757,87","1.765,12","1.774,44","1.757,87","","-0,26%"
"28.07.2025","1.762,46","1.711,21","1.763,35","1.710,06","","3,11%"
"25.07.2025","1.709,23","1.709,73","1.714,36","1.707,20","","-0,03%"
"24.07.2025","1.709,73","1.714,93","1.719,14","1.706,48","","-0,38%"
