"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2025","1.521,74","1.385,96","1.545,97","1.379,26","","10,30%"
"01.12.2024","1.379,58","1.393,62","1.402,76","1.360,40","","-0,90%"
"01.11.2024","1.392,13","1.357,89","1.403,73","1.327,85","","2,48%"
"01.10.2024","1.358,46","1.305,37","1.365,38","1.294,74","","3,89%"
"01.09.2024","1.307,59","1.361,95","1.361,95","1.303,74","","-2,40%"
"01.08.2024","1.339,79","1.345,70","1.362,85","1.272,05","","-0,66%"
"01.07.2024","1.348,69","1.381,32","1.390,05","1.332,96","","-2,43%"
"01.06.2024","1.382,29","1.399,94","1.416,87","1.363,70","","-1,25%"
"01.05.2024","1.399,72","1.356,44","1.451,31","1.356,01","","2,28%"
"01.04.2024","1.368,46","1.337,49","1.426,23","1.323,61","","2,68%"
"01.03.2024","1.332,76","1.274,16","1.334,52","1.268,18","","4,61%"
"01.02.2024","1.274,08","1.279,43","1.297,00","1.215,46","","-0,19%"
"01.01.2024","1.276,55","1.195,20","1.302,55","1.194,60","","6,81%"
"01.12.2023","1.195,20","1.146,87","1.195,20","1.129,11","","4,21%"
"01.11.2023","1.146,87","1.090,51","1.148,46","1.086,12","","5,40%"
"01.10.2023","1.088,15","1.121,82","1.143,05","1.083,95","","-2,99%"
"01.09.2023","1.121,64","1.076,12","1.124,61","1.044,56","","4,23%"
"01.08.2023","1.076,12","1.175,44","1.182,34","1.076,12","","-8,39%"
"01.07.2023","1.174,70","1.124,35","1.182,50","1.110,71","","3,63%"
"01.06.2023","1.133,60","1.099,03","1.201,77","1.098,95","","3,15%"
"01.05.2023","1.099,03","1.194,34","1.194,34","1.085,14","","-8,32%"
"01.04.2023","1.198,81","1.168,31","1.264,18","1.153,65","","3,56%"
"01.03.2023","1.157,59","1.191,79","1.244,96","1.084,58","","-2,52%"
"01.02.2023","1.187,56","1.286,53","1.291,85","1.182,80","","-7,95%"
"01.01.2023","1.290,11","1.290,95","1.347,58","1.264,76","","0,31%"
"01.12.2022","1.286,07","1.235,35","1.290,11","1.207,60","","3,50%"
"01.11.2022","1.242,63","1.235,72","1.295,81","1.215,51","","0,90%"
"01.10.2022","1.231,52","1.132,29","1.259,57","1.131,75","","9,15%"
"01.09.2022","1.128,24","1.228,65","1.244,77","1.108,05","","-8,15%"
"01.08.2022","1.228,33","1.289,06","1.343,04","1.228,33","","-5,22%"
"01.07.2022","1.295,96","1.324,23","1.360,73","1.251,69","","-2,03%"
"01.06.2022","1.322,88","1.615,11","1.619,40","1.322,88","","-17,49%"
"01.05.2022","1.603,23","1.576,09","1.619,48","1.403,32","","2,61%"
