Periodo,IPC_mensual
2003-01,1.17
2003-02,1.11
2003-03,1.05
2003-04,1.15
2003-05,0.49
2003-06,-0.05
2003-07,-0.14
2003-08,0.31
2003-09,0.22
2003-10,0.06
2003-11,0.35
2003-12,0.61
2004-01,0.89
2004-02,1.2
2004-03,0.98
2004-04,0.46
2004-05,0.38
2004-06,0.6
2004-07,-0.03
2004-08,0.03
2004-09,0.3
2004-10,-0.01
2004-11,0.28
2004-12,0.3
2005-01,0.82
2005-02,1.02
2005-03,0.77
2005-04,0.44
2005-05,0.41
2005-06,0.4
2005-07,0.05
2005-08,0.0
2005-09,0.43
2005-10,0.23
2005-11,0.11
2005-12,0.07
2006-01,0.54
2006-02,0.66
2006-03,0.7
2006-04,0.45
2006-05,0.33
2006-06,0.3
2006-07,0.41
2006-08,0.39
2006-09,0.29
2006-10,-0.14
2006-11,0.24
2006-12,0.23
2007-01,0.77
2007-02,1.17
2007-03,1.21
2007-04,0.9
2007-05,0.3
2007-06,0.12
2007-07,0.17
2007-08,-0.13
2007-09,0.08
2007-10,0.01
2007-11,0.47
2007-12,0.49
2008-01,1.06
2008-02,1.51
2008-03,0.81
2008-04,0.71
2008-05,0.93
2008-06,0.86
2008-07,0.48
2008-08,0.19
2008-09,-0.19
2008-10,0.35
2008-11,0.28
2008-12,0.44
2009-01,0.59
2009-02,0.84
2009-03,0.5
2009-04,0.32
2009-05,0.01
2009-06,-0.06
2009-07,-0.04
2009-08,0.04
2009-09,-0.11
2009-10,-0.13
2009-11,-0.07
2009-12,0.08
2010-01,0.69
2010-02,0.83
2010-03,0.25
2010-04,0.46
2010-05,0.1
2010-06,0.11
2010-07,-0.04
2010-08,0.11
2010-09,-0.14
2010-10,-0.09
2010-11,0.19
2010-12,0.65
2011-01,0.91
2011-02,0.6
2011-03,0.27
2011-04,0.12
2011-05,0.28
2011-06,0.32
2011-07,0.14
2011-08,-0.03
2011-09,0.31
2011-10,0.19
2011-11,0.14
2011-12,0.42
2012-01,0.73
2012-02,0.61
2012-03,0.12
2012-04,0.14
2012-05,0.3
2012-06,0.08
2012-07,-0.02
2012-08,0.04
2012-09,0.29
2012-10,0.16
2012-11,-0.14
2012-12,0.09
2013-01,0.3
2013-02,0.44
2013-03,0.21
2013-04,0.25
2013-05,0.28
2013-06,0.23
2013-07,0.04
2013-08,0.08
2013-09,0.29
2013-10,-0.26
2013-11,-0.22
2013-12,0.26
2014-01,0.49
2014-02,0.63
2014-03,0.39
2014-04,0.46
2014-05,0.48
2014-06,0.09
2014-07,0.15
2014-08,0.2
2014-09,0.14
2014-10,0.16
2014-11,0.13
2014-12,0.27
2015-01,0.64
2015-02,1.15
2015-03,0.59
2015-04,0.54
2015-05,0.26
2015-06,0.1
2015-07,0.19
2015-08,0.48
2015-09,0.72
2015-10,0.68
2015-11,0.6
2015-12,0.62
2016-01,1.29
2016-02,1.28
2016-03,0.94
2016-04,0.5
2016-05,0.51
2016-06,0.48
2016-07,0.52
2016-08,-0.32
2016-09,-0.05
2016-10,-0.06
2016-11,0.11
2016-12,0.42
2017-01,1.02
2017-02,1.01
2017-03,0.47
2017-04,0.47
2017-05,0.23
2017-06,0.11
2017-07,-0.05
2017-08,0.14
2017-09,0.04
2017-10,0.02
2017-11,0.18
2017-12,0.38
2018-01,0.63
2018-02,0.71
2018-03,0.24
2018-04,0.46
2018-05,0.25
2018-06,0.15
2018-07,-0.13
2018-08,0.12
2018-09,0.16
2018-10,0.12
2018-11,0.12
2018-12,0.3
2019-01,0.6
2019-02,0.57
2019-03,0.43
2019-04,0.5
2019-05,0.31
2019-06,0.27
2019-07,0.22
2019-08,0.09
2019-09,0.23
2019-10,0.16
2019-11,0.1
2019-12,0.26
2020-01,0.42
2020-02,0.67
2020-03,0.57
2020-04,0.16
2020-05,-0.32
2020-06,-0.38
2020-07,0.0
2020-08,-0.01
2020-09,0.32
2020-10,-0.06
2020-11,-0.15
2020-12,0.38
2021-01,0.41
2021-02,0.64
2021-03,0.51
2021-04,0.59
2021-05,1.0
2021-06,-0.05
2021-07,0.32
2021-08,0.45
2021-09,0.38
2021-10,0.01
2021-11,0.5
2021-12,0.73
2022-01,1.67
2022-02,1.63
2022-03,1.0
2022-04,1.25
2022-05,0.84
2022-06,0.51
2022-07,0.81
2022-08,1.02
2022-09,0.93
2022-10,0.72
2022-11,0.77
2022-12,1.26
2023-01,1.78
2023-02,1.66
2023-03,1.05
2023-04,0.78
2023-05,0.43
2023-06,0.3
2023-07,0.5
2023-08,0.7
2023-09,0.54
2023-10,0.25
2023-11,0.47
2023-12,0.45
2024-01,0.92
2024-02,1.09
2024-03,0.7
2024-04,0.59
2024-05,0.43
2024-06,0.32
2024-07,0.2
2024-08,0.0
2024-09,0.24
2024-10,-0.13
2024-11,0.27
2024-12,0.46
2025-01,0.94
2025-02,1.14
2025-03,0.52
2025-04,0.66
2025-05,0.32
2025-06,0.1
2025-07,0.28
2025-08,
2025-09,
2025-10,
2025-11,
2025-12,
