Fecha,"Agricultura, ganadería, caza, silvicultura y pesca",Explotación de minas y canteras,Industrias manufactureras,"Suministro de electricidad, gas, vapor, aire acondicionado, tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Construcción,"Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas, transporte y almacenamiento, alojamiento y servicios de comida",Información y comunicaciones,Actividades financieras y de seguros,Actividades inmobiliarias,"Actividades profesionales, científicas y técnicas, actividades de servicios administrativos y de apoyo","Administración pública y defensa, planes de seguridad social de afiliación obligatoria, educación, actividades de atención de la salud humana y de servicios sociales","Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios, actividades de los hogares individuales en calidad de empleadores, actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio",Valor agregado bruto,Producto Interno Bruto
2005-01,9568,6763,19179,4580,7759,20964,3030,3704,12433,8790,17728,3132,116837,126352
2005-04,9524,6947,19376,4688,7185,21444,3143,3872,12505,8973,17846,3160,117954,128671
2005-07,9310,6846,19260,4718,7140,21380,3008,4012,12591,9047,17789,3228,118091,128812
2005-10,9507,6873,19437,4699,7724,21638,3549,3836,12704,9247,17820,3256,119814,131018
2006-01,9524,7034,19825,4823,8347,22208,3561,4091,12852,9414,18391,3301,122773,134003
2006-04,9692,6872,20495,4904,7787,22764,3765,4039,13003,9585,18436,3367,124049,135977
2006-07,9662,7097,21158,4947,8307,23388,3539,4137,13140,9715,18700,3392,126849,138699
2006-10,9839,7057,21407,5005,8986,23566,3765,4172,13269,9878,18942,3364,128319,140755
2007-01,9879,6878,21742,5141,9097,24227,3982,4449,13401,10082,19035,3480,130602,143099
2007-04,10036,6955,22148,5103,8913,24595,4058,4705,13514,10222,19113,3518,132156,145198
2007-07,10152,7144,22357,5113,8632,25039,4412,4679,13609,10426,19579,3530,134509,148217
2007-10,10172,7457,23073,5155,9104,25482,4308,4870,13701,10515,19787,3607,136390,149943
2008-01,10262,7619,22969,5063,9484,25538,4262,4996,13767,10590,19751,3616,136882,150997
2008-04,9884,7650,22466,5150,10122,25626,4274,4992,13862,10622,19837,3627,137401,151246
2008-07,10018,7941,22339,5182,10535,25622,4423,5168,13992,10733,19763,3652,139116,153050
2008-10,9752,7891,21865,5225,9147,25561,4161,5442,14109,10854,19816,3663,136765,150420
2009-01,9780,8207,21569,5090,9406,25298,4031,5376,14256,10889,20017,3669,137206,150707
2009-04,9758,8468,21482,5197,10728,25394,3924,5267,14405,11013,20328,3722,138971,152588
2009-07,10221,8744,21530,5330,10160,25628,3757,5369,14529,11042,20596,3715,140429,154070
