Periodo,microempresas,pequeñas_emp,medianas_em,grandes_emp.
2019-01,338305,69025,17202,5849
2019-02,341139,71520,17763,6006
2019-03,344046,72283,17873,6014
2019-04,346102,72208,17878,6010
2019-05,348159,72972,18086,6047
2019-06,350818,72842,17962,6002
2019-07,352222,73618,18128,6060
2019-08,354238,74001,18208,6129
2019-09,355912,74726,18354,6165
2019-10,357578,75301,18566,6197
2019-11,358458,75485,18541,6184
2019-12,358190,73081,17977,6035
2020-01,355074,71260,17726,5925
2020-02,356757,74002,18196,6069
2020-03,357312,73080,18001,6047
2020-04,352016,66459,16343,5570
2020-05,350618,67674,16516,5606
2020-06,350799,68677,16672,5602
2020-07,350962,69353,16950,5644
2020-08,351287,69289,17094,5672
2020-09,352855,70497,17474,5761
2020-10,355032,71619,17739,5795
2020-11,356740,72230,17918,5852
2020-12,357149,70779,17569,5844
2021-01,356514,69592,17403,5685
2021-02,359595,72296,18015,5870
2021-03,362686,73428,18271,6012
2021-04,364816,73384,18233,6042
2021-05,366803,72560,18157,5958
2021-06,367829,73108,18286,6063
2021-07,369249,74081,18609,6121
2021-08,370811,74953,18861,6253
2021-09,372720,76049,19147,6345
2021-10,374543,76611,19393,6394
2021-11,375888,77154,19489,6429
2021-12,376059,75455,19091,6307
2022-01,373634,74481,19003,6200
2022-02,377033,77818,19638,6415
2022-03,380088,78944,19854,6547
2022-04,382206,79206,19782,6531
2022-05,384628,79989,19991,6590
2022-06,387161,80386,20002,6585
2022-07,389402,80953,20168,6580
2022-08,391213,82142,20425,6692
2022-09,393507,82991,20545,6762
2022-10,395529,83215,20406,6722
2022-11,397463,83267,19108,6348
2022-12,398185,80614,18347,6269
2023-01,395653,79457,18300,6162
2023-02,400878,82947,19037,6381
2023-03,402733,83511,19128,6459
2023-04,404411,82993,19108,6418
2023-05,405659,83348,19196,6478
2023-06,407264,83135,19126,6464
2023-07,408540,82944,19221,6433
2023-08,410024,83902,19310,6483
2023-09,410839,85335,20719,6760
2023-10,411980,85449,20662,6730
2023-11,412404,85502,20633,6698
2023-12,411833,82941,19914,6516
2024-01,407680,80928,19774,6365
2024-02,412731,84136,20183,6512
2024-03,415562,83964,19926,6466
2024-04,416202,84353,20240,6605
2024-05,416834,84134,20232,6580
2024-06,417767,83803,20097,6537
2024-07,418898,83922,20259,6552
2024-08,420668,84264,20141,6565
2024-09,421912,84461,20252,6549
2024-10,423141,85028,20361,6565
2024-11,422529,85002,20216,6564
2024-12,422358,81866,19506,6393
2025-01,423066,82116,19619,6302
2025-02,424363,84732,20038,6455
2025-03,423753,85020,20245,6469
2025-04,418576,84411,20100,6482
2025-05,378297,80125,19324,6353
