Fecha,ISE_Primarias,ISE_Agricultura,ISE_Mineria,ISE_Secundarias,ISE_Manufactura,ISE_Construccion,ISE_Terciarias,ISE_Energia_Agua,ISE_Comercio_Transp,ISE_InfoCom,ISE_Financieras,ISE_Inmobiliarias,ISE_Profesionales,ISE_Admin_Edu_Salud,ISE_Arte_Otros,ISE_Indice
2005-01,66.0,80.0,56.3,69.4,75.9,58.3,61.7,74.5,61.8,49.1,42.6,70.9,60.2,64.2,66.9,64.0
2005-02,66.5,79.3,56.6,69.5,77.4,52.9,61.9,75.5,62.7,50.1,42.7,71.2,61.8,63.0,65.4,64.1
2005-3,66.8,78.6,58.2,69.0,78.2,50.8,62.1,75.4,61.8,51.8,42.4,71.4,61.9,62.3,65.7,64.0
2005-04,66.9,78.2,58.7,69.3,78.0,49.0,63.1,76.1,64.4,52.5,44.4,71.6,62.6,63.5,66.2,64.9
2005-05,66.2,76.7,57.0,66.1,75.9,47.4,62.8,75.4,62.8,52.9,44.3,71.7,62.4,63.9,66.5,63.9
2005-06,68.6,81.0,60.4,67.7,78.6,46.8,62.8,76.4,62.3,51.8,45.3,71.8,62.7,63.9,66.7,64.5
2005-07,65.3,76.0,57.2,67.0,76.1,47.5,62.9,76.0,62.9,47.9,45.8,72.0,62.7,63.7,67.6,64.0
2005-08,67.3,79.5,57.5,68.3,78.8,49.1,63.2,77.0,63.3,50.6,46.4,72.1,63.1,63.5,68.1,65.0
2005-09,67.1,79.0,57.1,67.7,76.5,51.1,63.3,76.9,63.2,52.6,46.5,72.3,63.5,63.4,68.2,64.9
2005-10,66.0,78.2,56.9,67.5,75.7,51.7,63.9,74.8,63.9,57.5,43.8,72.5,63.9,63.5,68.6,65.0
2005-11,66.0,79.2,55.5,68.3,77.1,53.6,63.9,76.2,62.7,61.0,45.4,72.8,64.2,63.6,69.2,65.3
2005-12,68.2,79.6,59.7,73.1,80.7,58.0,64.5,77.2,65.0,59.8,43.9,73.1,64.8,63.7,68.8,66.9
2006-01,67.3,78.0,60.9,71.4,78.8,58.0,65.0,77.6,64.9,59.3,46.7,73.4,65.3,64.9,69.0,66.7
2006-02,67.7,79.8,58.9,72.8,80.5,57.0,65.5,79.2,65.8,58.7,47.4,73.6,65.7,65.8,69.4,67.3
2006-03,67.6,79.9,58.3,73.4,81.3,59.1,65.9,79.2,65.8,60.4,47.1,73.9,66.1,65.8,70.1,67.8
2006-04,66.7,78.6,57.6,71.0,79.2,55.1,66.8,79.5,67.6,62.9,46.3,74.2,66.4,65.8,70.2,67.3
