Fecha,"Agricultura, ganadería, caza, silvicultura y pesca",Explotación de minas y canteras,Industrias manufactureras,"Suministro de electricidad, gas, vapor, aire acondicionado, tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental",Construcción,"Comercio al por mayor y al por menor, reparación de vehículos automotores y motocicletas, transporte y almacenamiento, alojamiento y servicios de comida",Información y comunicaciones,Actividades financieras y de seguros,Actividades inmobiliarias,"Actividades profesionales, científicas y técnicas, actividades de servicios administrativos y de apoyo","Administración pública y defensa, planes de seguridad social de afiliación obligatoria, educación, actividades de atención de la salud humana y de servicios sociales","Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios, actividades de los hogares individuales en calidad de empleadores, actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio",Valor agregado bruto,Producto Interno Bruto
2005-01,9568,6763,19179,4580,7759,20964,3030,3704,12433,8790,17728,3132,116837,126352
2005-02,9553,6826,19247,4617,7561,21129,3069,3762,12458,8853,17769,3142,117222,127151
2005-03,9539,6884,19308,4651,7383,21279,3104,3814,12480,8910,17805,3150,117569,127872
2005-04,9524,6947,19376,4688,7185,21444,3143,3872,12505,8973,17846,3160,117954,128671
2005-05,9453,6914,19338,4698,7170,21423,3098,3918,12533,8997,17827,3182,117999,128717
2005-06,9381,6879,19298,4708,7155,21401,3053,3966,12563,9023,17808,3206,118046,128766
2005-07,9310,6846,19260,4718,7140,21380,3008,4012,12591,9047,17789,3228,118091,128812
2005-08,9376,6855,19320,4712,7337,21467,3190,3953,12629,9114,17799,3237,118672,129555
2005-09,9443,6864,19379,4705,7534,21554,3373,3893,12667,9182,17810,3247,119252,130299
2005-10,9507,6873,19437,4699,7724,21638,3549,3836,12704,9247,17820,3256,119814,131018
2005-11,9513,6927,19568,4741,7934,21830,3553,3922,12754,9303,18012,3271,120811,132024
2005-12,9518,6980,19694,4781,8137,22016,3557,4005,12802,9358,18199,3286,121776,132997
2006-01,9524,7034,19825,4823,8347,22208,3561,4091,12852,9414,18391,3301,122773,134003
2006-02,9582,6978,20056,4851,8154,22400,3631,4073,12904,9473,18406,3324,123213,134683
2006-03,9634,6928,20264,4876,7980,22572,3695,4057,12951,9526,18420,3344,123609,135297
2006-04,9692,6872,20495,4904,7787,22764,3765,4039,13003,9585,18436,3367,124049,135977
2006-05,9682,6946,20714,4918,7958,22970,3690,4071,13048,9628,18523,3375,124972,136874
2006-06,9672,7023,20939,4933,8136,23182,3614,4105,13095,9672,18613,3384,125926,137802
2006-07,9662,7097,21158,4947,8307,23388,3539,4137,13140,9715,18700,3392,126849,138699
2006-08,9722,7084,21242,4967,8536,23448,3615,4149,13183,9770,18782,3383,127344,139392
2006-09,9781,7070,21326,4986,8765,23508,3691,4161,13227,9825,18863,3373,127840,140085
2006-10,9839,7057,21407,5005,8986,23566,3765,4172,13269,9878,18942,3364,128319,140755
2006-11,9852,6997,21520,5051,9023,23789,3838,4265,13313,9947,18973,3403,129088,141545
2006-12,9866,6938,21629,5095,9060,24004,3909,4356,13357,10013,19004,3441,129833,142309
2007-01,9879,6878,21742,5141,9097,24227,3982,4449,13401,10082,19035,3480,130602,143099
2007-02,9933,6905,21882,5128,9034,24354,4008,4537,13440,10130,19062,3493,131137,143822
2007-03,9982,6928,22008,5116,8976,24468,4032,4617,13475,10174,19086,3505,131621,144475
2007-04,10036,6955,22148,5103,8913,24595,4058,4705,13514,10222,19113,3518,132156,145198
2007-05,10074,7017,22217,5106,8820,24741,4175,4696,13545,10289,19267,3522,132932,146193
2007-06,10114,7082,22288,5110,8725,24893,4295,4688,13578,10359,19425,3526,133733,147222
2007-07,10152,7144,22357,5113,8632,25039,4412,4679,13609,10426,19579,3530,134509,148217
2007-08,10159,7249,22598,5127,8791,25188,4377,4743,13640,10456,19649,3556,135143,148799
2007-09,10165,7355,22840,5141,8950,25338,4342,4808,13671,10486,19719,3582,135777,149380
2007-10,10172,7457,23073,5155,9104,25482,4308,4870,13701,10515,19787,3607,136390,149943
2007-11,10202,7512,23038,5124,9232,25501,4292,4912,13723,10540,19775,3610,136556,150298
2007-12,10232,7564,23004,5094,9356,25519,4278,4954,13745,10565,19763,3613,136716,150642
2008-01,10262,7619,22969,5063,9484,25538,4262,4996,13767,10590,19751,3616,136882,150997
2008-02,10133,7630,22798,5093,9701,25568,4266,4995,13799,10601,19780,3620,137059,151082
2008-03,10013,7639,22637,5120,9905,25596,4270,4993,13830,10611,19808,3623,137224,151161
2008-04,9884,7650,22466,5150,10122,25626,4274,4992,13862,10622,19837,3627,137401,151246
2008-05,9928,7746,22424,5161,10258,25625,4323,5050,13905,10659,19813,3635,137966,151841
2008-06,9974,7845,22381,5171,10399,25623,4374,5110,13949,10696,19787,3644,138551,152455
2008-07,10018,7941,22339,5182,10535,25622,4423,5168,13992,10733,19763,3652,139116,153050
2008-08,9928,7924,22179,5196,10067,25601,4335,5260,14031,10774,19781,3656,138324,152164
2008-09,9839,7907,22020,5211,9600,25581,4246,5353,14071,10815,19799,3659,137532,151278
2008-10,9752,7891,21865,5225,9147,25561,4161,5442,14109,10854,19816,3663,136765,150420
2008-11,9761,7997,21765,5180,9234,25472,4117,5420,14159,10866,19884,3665,136914,150517
2008-12,9771,8101,21669,5135,9319,25387,4075,5398,14206,10877,19949,3667,137057,150610
2009-01,9780,8207,21569,5090,9406,25298,4031,5376,14256,10889,20017,3669,137206,150707
2009-02,9772,8297,21539,5127,9861,25331,3994,5338,14307,10932,20124,3687,137814,151355
2009-03,9766,8378,21512,5160,10273,25361,3961,5305,14354,10970,20221,3704,138363,151940
2009-04,9758,8468,21482,5197,10728,25394,3924,5267,14405,11013,20328,3722,138971,152588
2009-05,9911,8559,21498,5241,10541,25471,3869,5301,14446,11023,20416,3720,139452,153077
2009-06,10068,8653,21514,5286,10347,25551,3812,5335,14488,11032,20508,3717,139948,153581
2009-07,10221,8744,21530,5330,10160,25628,3757,5369,14529,11042,20596,3715,140429,154070
2009-08,10168,8911,21612,5386,10114,25708,3824,5347,14579,11046,20611,3741,140738,154468
2009-09,10115,9078,21694,5441,10067,25788,3892,5325,14628,11050,20626,3766,141047,154866
2009-10,10063,9239,21774,5495,10022,25865,3957,5303,14676,11054,20641,3791,141346,155251
2009-11,9945,9294,21818,5500,9990,26051,4056,5280,14721,11087,20761,3796,141776,155700
2009-12,9831,9347,21860,5505,9958,26231,4152,5257,14765,11120,20877,3802,142193,156135
2010-01,9713,9402,21904,5510,9926,26417,4251,5234,14810,11153,20997,3807,142623,156584
2010-02,9792,9520,21918,5504,9832,26472,4365,5341,14853,11204,21082,3802,143407,157524
2010-03,9862,9627,21932,5499,9746,26521,4468,5437,14891,11249,21160,3798,144114,158373
2010-04,9941,9745,21946,5493,9652,26576,4582,5544,14934,11300,21245,3793,144898,159313
2010-05,9949,9683,21876,5488,9697,26722,4608,5605,14972,11325,21291,3797,145183,159689
2010-06,9957,9618,21803,5482,9742,26872,4635,5667,15012,11352,21339,3800,145476,160078
2010-07,9965,9556,21733,5477,9787,27018,4661,5728,15050,11377,21385,3804,145761,160454
2010-08,10086,9613,21957,5469,10089,27227,4695,5755,15080,11427,21503,3822,146802,161581
2010-09,10207,9669,22180,5462,10390,27435,4730,5781,15110,11476,21621,3839,147843,162708
2010-10,10324,9724,22397,5454,10682,27637,4763,5807,15139,11524,21735,3856,148850,163799
2010-11,10315,9930,22573,5517,10497,27793,4812,5856,15172,11624,21896,3888,149838,164923
2010-12,10306,10128,22742,5578,10317,27945,4860,5903,15205,11722,22053,3919,150794,166011
2011-01,10297,10334,22918,5641,10132,28101,4909,5952,15238,11822,22214,3951,151782,167135
2011-02,10213,10543,23030,5636,10229,28281,4926,6011,15276,11891,22263,3989,152506,168071
2011-03,10136,10733,23130,5631,10316,28443,4941,6063,15311,11952,22307,4024,153160,168917
2011-04,10052,10942,23242,5626,10413,28623,4958,6122,15349,12021,22356,4062,153884,169853
2011-05,10061,11064,23305,5634,10584,28777,5019,6164,15385,12107,22447,4077,154883,170989
2011-06,10069,11191,23370,5643,10761,28935,5082,6208,15422,12195,22541,4092,155916,172162
2011-07,10078,11313,23433,5651,10932,29089,5143,6250,15458,12281,22632,4107,156915,173298
2011-08,10146,11337,23389,5664,10975,29143,5143,6311,15500,12336,22777,4094,157305,173650
2011-09,10213,11361,23345,5677,11018,29197,5143,6372,15542,12391,22922,4081,157694,174002
2011-10,10279,11384,23303,5690,11059,29249,5143,6431,15583,12444,23063,4068,158071,174342
2011-11,10324,11425,23431,5714,11265,29374,5114,6444,15622,12487,23174,4075,158686,175303
2011-12,10369,11465,23554,5737,11465,29494,5086,6458,15661,12530,23281,4083,159282,176232
2012-01,10414,11506,23682,5761,11671,29619,5057,6471,15700,12573,23392,4090,159897,177193
2012-02,10456,11525,23601,5758,11762,29700,5046,6537,15744,12604,23460,4106,160445,177435
2012-03,10495,11544,23526,5755,11846,29776,5037,6598,15786,12634,23524,4121,160958,177660
2012-04,10537,11563,23445,5752,11937,29857,5026,6664,15830,12665,23592,4137,161506,177902
2012-05,10485,11565,23432,5762,11312,29877,5039,6668,15875,12698,23719,4188,161201,177629
2012-06,10432,11567,23419,5773,10666,29897,5053,6671,15920,12731,23851,4242,160885,177348
2012-07,10380,11569,23406,5783,10041,29917,5066,6675,15965,12764,23978,4293,160580,177075
2012-08,10385,11612,23314,5788,10500,29965,5133,6723,16005,12812,24094,4247,161258,177806
2012-09,10390,11655,23222,5793,10958,30013,5200,6770,16045,12859,24209,4201,161937,178537
2012-10,10395,11697,23133,5798,11402,30060,5265,6816,16084,12905,24321,4157,162593,179245
2012-11,10561,11746,23132,5824,11541,30250,5306,6914,16129,12933,24349,4204,163587,180188
2012-12,10721,11792,23130,5850,11676,30433,5347,7009,16173,12960,24375,4249,164548,181101
2013-01,10887,11841,23129,5876,11815,30623,5388,7107,16218,12988,24403,4296,165542,182044
2013-02,11100,11949,23400,5928,12067,30863,5421,7149,16260,13078,24611,4336,166856,183745
2013-03,11293,12047,23645,5975,12294,31081,5450,7187,16297,13159,24798,4371,168043,185280
2013-04,11506,12155,23916,6027,12546,31321,5483,7229,16339,13249,25006,4411,169357,186981
2013-05,11408,12216,23920,6016,12625,31357,5541,7209,16382,13335,25120,4429,169828,187359
2013-06,11307,12280,23925,6006,12706,31395,5601,7187,16427,13423,25239,4449,170315,187749
2013-07,11209,12341,23929,5995,12785,31431,5659,7167,16470,13509,25353,4467,170786,188127
2013-08,11217,12380,23989,6015,12852,31547,5668,7332,16513,13623,25493,4493,171580,189023
2013-09,11225,12418,24049,6034,12920,31662,5678,7498,16556,13737,25633,4519,172373,189920
2013-10,11233,12456,24107,6053,12985,31774,5687,7658,16598,13847,25769,4544,173141,190787
2013-11,11313,12415,24133,6085,13102,31944,5754,7691,16642,13952,25891,4548,173949,191699
2013-12,11391,12374,24158,6115,13214,32109,5819,7723,16684,14053,26010,4551,174730,192582
2014-01,11471,12333,24184,6147,13331,32279,5886,7756,16728,14158,26132,4555,175538,193494
2014-02,11526,12127,24322,6185,13344,32412,5918,7831,16770,14209,26100,4526,175622,193715
2014-03,11577,11940,24448,6219,13357,32532,5946,7899,16809,14256,26072,4500,175698,193916
2014-04,11632,11734,24586,6257,13370,32665,5978,7974,16851,14307,26040,4471,175782,194137
2014-05,11563,11839,24566,6242,13609,32735,5920,8025,16894,14348,26278,4507,176457,194754
2014-06,11492,11949,24544,6227,13855,32808,5860,8077,16938,14389,26523,4545,177156,195393
2014-07,11423,12054,24524,6212,14094,32878,5802,8128,16981,14430,26761,4581,177831,196010
2014-08,11487,12041,24527,6193,13997,33000,5864,8180,17022,14489,27002,4588,178420,196663
2014-09,11552,12027,24531,6174,13900,33123,5927,8232,17063,14548,27242,4596,179010,197316
2014-10,11614,12014,24534,6156,13806,33241,5987,8282,17103,14605,27475,4603,179580,197948
2014-11,11678,12017,24548,6144,13893,33302,5970,8398,17146,14555,27574,4623,179897,198347
2014-12,11741,12020,24563,6131,13978,33361,5953,8510,17187,14508,27671,4643,180204,198734
2015-01,11805,12023,24577,6119,14065,33422,5936,8626,17230,14458,27770,4663,180521,199133
2015-02,11871,12054,24591,6125,14268,33489,5932,8640,17277,14400,27786,4672,181122,199732
2015-03,11930,12081,24605,6129,14452,33549,5929,8653,17319,14349,27800,4679,181664,200272
2015-04,11996,12112,24619,6135,14655,33616,5925,8667,17366,14291,27816,4688,182265,200871
2015-05,12075,11988,24781,6150,14568,33734,5965,8712,17414,14364,28292,4717,182913,201468
2015-06,12157,11860,24949,6166,14479,33856,6007,8758,17465,14438,28785,4748,183584,202085
2015-07,12236,11736,25111,6181,14392,33974,6047,8803,17513,14511,29261,4777,184232,202682
2015-08,12186,11743,25236,6175,14573,34123,6049,8735,17581,14383,28576,4803,183994,202455
2015-09,12136,11750,25362,6170,14755,34273,6051,8666,17650,14256,27892,4828,183756,202227
2015-10,12087,11757,25483,6164,14930,34417,6053,8600,17716,14132,27229,4853,183525,202007
2015-11,12022,11810,25592,6176,15013,34412,6029,8685,17757,14096,27637,4889,184119,202968
2015-12,11959,11861,25696,6187,15094,34407,6007,8768,17797,14061,28031,4925,184693,203899
2016-01,11894,11914,25805,6199,15177,34402,5983,8853,17838,14025,28439,4961,185287,204860
2016-02,11929,11785,25828,6163,15151,34464,5976,8832,17894,13997,28631,4975,185512,204720
2016-03,11961,11665,25849,6128,15126,34522,5969,8811,17947,13972,28811,4987,185723,204588
2016-04,11996,11536,25872,6092,15100,34584,5962,8790,18003,13944,29003,5001,185948,204448
2016-05,12129,11555,25744,6102,15094,34628,5977,8858,18050,13954,29137,5013,186249,204779
2016-06,12265,11575,25612,6111,15088,34672,5991,8929,18100,13965,29274,5026,186561,205120
2016-07,12398,11594,25484,6121,15082,34716,6006,8997,18147,13975,29408,5038,186862,205451
2016-08,12652,11464,25605,6143,14976,34934,5954,9027,18199,14001,29388,5037,187393,205882
2016-09,12906,11335,25727,6165,14870,35153,5903,9057,18251,14027,29368,5036,187923,206313
2016-10,13152,11209,25844,6186,14767,35364,5853,9086,18301,14052,29348,5035,188437,206730
2016-11,13093,11128,25732,6204,14683,35267,5876,9092,18335,14060,29414,5068,188196,206675
2016-12,13035,11049,25625,6222,14602,35173,5899,9097,18368,14067,29478,5100,187964,206621
2017-01,12976,10968,25513,6240,14518,35076,5922,9103,18402,14075,29544,5133,187723,206566
2017-02,12968,10995,25391,6259,14679,35160,5934,9218,18443,14101,29670,5112,188178,206971
2017-03,12961,11020,25282,6275,14824,35235,5945,9322,18480,14125,29784,5093,188588,207338
2017-04,12953,11047,25160,6294,14985,35319,5957,9437,18521,14151,29910,5072,189043,207743
2017-05,13022,10972,25176,6316,14926,35458,5918,9418,18573,14184,30025,5089,189205,208051
2017-06,13093,10895,25193,6338,14865,35603,5878,9398,18627,14217,30145,5107,189373,208369
2017-07,13162,10820,25209,6360,14806,35742,5839,9379,18679,14250,30260,5124,189535,208677
2017-08,13144,10799,25224,6378,14736,35666,5907,9498,18751,14278,30344,5125,189885,209012
2017-09,13126,10778,25239,6396,14666,35590,5974,9617,18823,14307,30427,5125,190235,209346
