Periodo,TRM
2003-01,2923.58
2003-02,2954.3950000000004
2003-03,2959.325
2003-04,2920.2200000000003
2003-05,2857.675
2003-06,2826.36
2003-07,2875.75
2003-08,2866.6549999999997
2003-09,2829.82
2003-10,2872.625
2003-11,2840.41
2003-12,2808.31
2004-01,2747.39
2004-02,2729.9300000000003
2004-03,2672.13
2004-04,2633.84
2004-05,2727.23
2004-06,2715.45
2004-07,2642.78
2004-08,2606.57
2004-09,2548.2
2004-10,2577.3900000000003
2004-11,2538.18
2004-12,2408.25
2005-01,2370.08
2005-02,2344.94
2005-03,2343.525
2005-04,2347.205
2005-05,2339.25
2005-06,2330.93
2005-07,2323.6499999999996
2005-08,2306.23
2005-09,2293.29
2005-10,2289.57
2005-11,2279.335
2005-12,2276.7
2006-01,2273.31
2006-02,2254.11
2006-03,2259.36
2006-04,2337.42
2006-05,2410.96
2006-06,2561.67
2006-07,2516.79
2006-08,2388.13
2006-09,2398.56
2006-10,2357.9700000000003
2006-11,2285.65
2006-12,2270.18
2007-01,2235.0
2007-02,2224.12
2007-03,2204.91
2007-04,2143.31
2007-05,1998.605
2007-06,1927.9499999999998
2007-07,1956.05
2007-08,2048.44
2007-09,2129.58
2007-10,2006.67
2007-11,2045.59
2007-12,2008.905
2008-01,1978.0
2008-02,1903.375
2008-03,1847.315
2008-04,1792.78
2008-05,1779.5349999999999
2008-06,1706.61
2008-07,1777.135
2008-08,1859.21
2008-09,2071.29
2008-10,2300.5
2008-11,2329.82
2008-12,2254.5
2009-01,2244.4350000000004
2009-02,2528.94
2009-03,2485.56
2009-04,2378.535
2009-05,2221.0950000000003
2009-06,2074.72
2009-07,2064.0550000000003
2009-08,2016.09
2009-09,1985.38
2009-10,1914.435
2009-11,1969.52
2009-12,2015.74
2010-01,1971.32
2010-02,1942.79
2010-03,1904.685
2010-04,1942.81
2010-05,1978.48
2010-06,1917.1399999999999
2010-07,1872.92
2010-08,1818.5
2010-09,1805.31
2010-10,1805.1550000000002
2010-11,1863.78
2010-12,1921.565
2011-01,1859.97
2011-02,1889.1
2011-03,1879.48
2011-04,1813.445
2011-05,1807.86
2011-06,1782.76
2011-07,1761.2350000000001
2011-08,1782.63
2011-09,1822.04
2011-10,1902.47
2011-11,1915.565
2011-12,1935.8400000000001
2012-01,1836.34
2012-02,1782.455
2012-03,1763.995
